sku,statut_gate,motifs,drapeaux,n_sommets_brut,n_sommets_effectifs,debord_mur_mm,debord_plafond_mm,bruit_tessellation_count,jitter_contour_count,platitude_ratio,platitude_critere_applique,signal_projection_egale_bbox_w
0900,SUSPECT_GEOMETRIE,CONTRAT_LOADER_STATUT_NON_OK; CONTRAT_LOADER_PROFIL_INSUFFISANT (n=0); CONTRAT_LOADER_MUR_VIDE; CONTRAT_LOADER_PLAFOND_VIDE,,0,,,,,,,False,True
1000,OK,,,49,49,0.0,0.0,0,0,0.13043478260869565,False,True
1005,SUSPECT_GEOMETRIE,CONTRAT_LOADER_STATUT_NON_OK; CONTRAT_LOADER_PROFIL_INSUFFISANT (n=0); CONTRAT_LOADER_MUR_VIDE; CONTRAT_LOADER_PLAFOND_VIDE,,0,,,,,,,False,True
1102BH,SUSPECT_GEOMETRIE,CONTRAT_LOADER_STATUT_NON_OK; CONTRAT_LOADER_PROFIL_INSUFFISANT (n=0); CONTRAT_LOADER_MUR_VIDE; CONTRAT_LOADER_PLAFOND_VIDE,,0,,,,,,,False,True
1145c,SUSPECT_GEOMETRIE,CONTRAT_LOADER_STATUT_NON_OK; CONTRAT_LOADER_PROFIL_INSUFFISANT (n=0); CONTRAT_LOADER_MUR_VIDE; CONTRAT_LOADER_PLAFOND_VIDE,,0,,,,,,,False,True
1202,SUSPECT_GEOMETRIE,CONTRAT_LOADER_STATUT_NON_OK; CONTRAT_LOADER_PROFIL_INSUFFISANT (n=0); CONTRAT_LOADER_MUR_VIDE; CONTRAT_LOADER_PLAFOND_VIDE,,0,,,,,,,False,True
20-54,SUSPECT_GEOMETRIE,CONTRAT_LOADER_STATUT_NON_OK; CONTRAT_LOADER_PROFIL_INSUFFISANT (n=0); CONTRAT_LOADER_MUR_VIDE; CONTRAT_LOADER_PLAFOND_VIDE,,0,,,,,,,False,True
D106,SUSPECT_GEOMETRIE,DEBORD_PLAN_PLAFOND (ecart=64.710mm),,13,12,0.0,64.71039999999999,2,0,0.14285714285714285,False,False
D110,SUSPECT_GEOMETRIE,DEBORD_PLAN_PLAFOND (ecart=42.009mm),,17,17,0.0,42.00909999999999,1,0,0.4296009895636588,False,False
D114,OK,,"BRUIT_TESSELLATION (count=7, seuil_indicatif=3)",22,22,0.00030000000000995897,0.00029999999998153726,7,0,0.9499610007799845,False,False
D114M,OK,,"BRUIT_TESSELLATION (count=8, seuil_indicatif=3)",21,20,0.00030000000000995897,0.0,8,0,0.7894903050590538,False,False
D116,OK,,,58,58,0.00019999999999242846,0.00030000000000995897,0,0,0.5125151251512515,False,False
D117,OK,,,38,29,0.00019999999999242846,0.00030000000000995897,0,0,0.4500116000928007,False,False
D505,OK,,,45,43,0.00010000000000331966,0.0004999999999881766,1,0,0.5507769525209765,False,False
D515,OK,,"BRUIT_TESSELLATION (count=8, seuil_indicatif=3)",47,44,0.0004000000000132786,0.00010000000000331966,8,0,0.4553330582971026,False,False
D520,OK,,,33,33,0.0,0.0,0,0,0.9790001519525907,False,False
D545,OK,,,10,10,0.0,0.0,0,0,0.375,False,True
D550,OK,,,29,29,0.0,0.00030000000000995897,0,0,0.493391735871987,False,True
D555,SUSPECT_GEOMETRIE,DEBORD_PLAN_PLAFOND (ecart=5.278mm),,16,16,0.0002999999999957481,5.278100000000002,0,0,0.9747817945697806,True,False
D560,SUSPECT_GEOMETRIE,DEBORD_PLAN_MUR (ecart=27.972mm); DEBORD_PLAN_PLAFOND (ecart=65.416mm),,50,50,27.972499999999997,65.41580000000002,0,0,0.43820317298617245,False,False
