sku,stp_present_exploitable,stp_fichiers,statut_gate,statut_json,cause_divergence
0900,non,,SUSPECT_GEOMETRIE,ERREUR_SELECTION,correlation triviale (statut JSON non-OK => CONTRAT_LOADER_STATUT_NON_OK bloquant gate)
1000,non,,OK,OK,
1005,non,,SUSPECT_GEOMETRIE,ERREUR_SELECTION,correlation triviale (statut JSON non-OK => CONTRAT_LOADER_STATUT_NON_OK bloquant gate)
1102BH,non,,SUSPECT_GEOMETRIE,ERREUR_UNITES,correlation triviale (statut JSON non-OK => CONTRAT_LOADER_STATUT_NON_OK bloquant gate)
1145c,non,,SUSPECT_GEOMETRIE,ERREUR_SELECTION,correlation triviale (statut JSON non-OK => CONTRAT_LOADER_STATUT_NON_OK bloquant gate)
1202,non,,SUSPECT_GEOMETRIE,ERREUR_UNITES,correlation triviale (statut JSON non-OK => CONTRAT_LOADER_STATUT_NON_OK bloquant gate)
20-54,non,,SUSPECT_GEOMETRIE,ERREUR_SELECTION,correlation triviale (statut JSON non-OK => CONTRAT_LOADER_STATUT_NON_OK bloquant gate)
D106,oui,D106.stp,SUSPECT_GEOMETRIE,OK,JSON=OK mais gate=SUSPECT : DEBORD_PLAN_PLAFOND (ecart=64.710mm)
D110,oui,D110.stp,SUSPECT_GEOMETRIE,OK,JSON=OK mais gate=SUSPECT : DEBORD_PLAN_PLAFOND (ecart=42.009mm)
D114,oui,D114.stp,OK,OK,
D114M,oui,D114M.stp,OK,OK,
D116,oui,D116.stp,OK,OK,
D117,oui,D117.stp,OK,OK,
D505,oui,D505-sansmotif.stp,OK,OK,
D515,oui,D515.stp,OK,OK,
D520,oui,D520.stp,OK,OK,
D545,oui,D545.stp,OK,OK,
D550,oui,D550 sans motif.stp,OK,OK,
D555,oui,D555.stp,SUSPECT_GEOMETRIE,OK,JSON=OK mais gate=SUSPECT : DEBORD_PLAN_PLAFOND (ecart=5.278mm)
D560,oui,D560.stp,SUSPECT_GEOMETRIE,OK,JSON=OK mais gate=SUSPECT : DEBORD_PLAN_MUR (ecart=27.972mm); DEBORD_PLAN_PLAFOND (ecart=65.416mm)
