sku,sku_affichage,present_tableau_BE_stl_flag,stl_confirme_crawl_ged_archive,nom_fichier_ged_archive,profil_json_existant,source_fichier_reel_utilise,statut_json,statut_gate,dans_index_43,dans_ged_458_catalogue_data,action_proposee
0710,0710,True,True,Niches - 0710.stl,False,,,,False,False,a_importer_puis_extraire_section
0712,0712,True,True,Niches - 0712.stl,False,,,,False,False,a_importer_puis_extraire_section
0714,0714,True,True,Niches - 0714.stl,False,,,,False,False,a_importer_puis_extraire_section
0724,0724,True,True,Niches - 0724.stl,False,,,,False,False,a_importer_puis_extraire_section
0726,0726,True,True,Niches - 0726.stl,False,,,,False,False,a_importer_puis_extraire_section
0732,0732,True,True,Niches - 0732.stl,False,,,,False,False,a_importer_puis_extraire_section
0734,0734,True,True,Niches - 0734.stl,False,,,,False,False,a_importer_puis_extraire_section
0742,0742,True,True,Niches - 0742.stl,False,,,,False,False,a_importer_puis_extraire_section
0744,0744,True,True,Niches - 0744.stl,False,,,,False,False,a_importer_puis_extraire_section
0760,0760,False,False,,False,,,,False,True,a_qualifier_be
0800,0800,False,False,,False,,,,False,True,a_qualifier_be
0900,0900,False,False,,True,0900.dxf,ERREUR_SELECTION,SUSPECT_GEOMETRIE,False,True,a_qualifier_be
0905,0905,False,False,,False,,,,False,True,a_qualifier_be
0950,0950,False,False,,False,,,,False,True,a_qualifier_be
1000,1000,False,False,,True,1000.dxf,OK,OK,True,True,deja_visible
1005,1005,False,False,,True,1005.dxf,ERREUR_SELECTION,SUSPECT_GEOMETRIE,False,True,a_qualifier_be
1025,1025,False,False,,False,,,,False,True,a_qualifier_be
1050,1050,False,False,,False,,,,False,True,a_qualifier_be
1101,1101,True,False,,False,,,,False,False,a_qualifier_be
1101-1108,1108,False,True,Moulures - 1108.stl,False,,,,False,False,a_importer_puis_extraire_section
1101BH,1101BH,True,True,Moulures - 1101BH.stl,False,,,,False,True,a_importer_puis_extraire_section
1101C,1101C,True,True,Cimaises - 1101C.stl,False,,,,False,True,a_importer_puis_extraire_section
1101D,1101D,True,True,Moulures - 1101D.stl,False,,,,False,True,a_importer_puis_extraire_section
1101E,1101E,True,False,,False,,,,False,True,a_qualifier_be
1101E-1,1101E,False,True,Moulures - 1101E.stl,False,,,,False,False,a_importer_puis_extraire_section
1101H,1101H,True,True,Moulures - 1101H.stl,False,,,,False,True,a_importer_puis_extraire_section
1102,1102,True,True,Moulures - 1102.stl,False,,,,False,True,a_importer_puis_extraire_section
1102BH,1102BH,False,False,,True,1102BH.stl,ERREUR_UNITES,SUSPECT_GEOMETRIE,False,True,corriger_unites
1103,1103,True,True,Moulures - 1103.stl,False,,,,False,True,a_importer_puis_extraire_section
1103BH,1103BH,False,False,,False,,,,False,True,a_qualifier_be
1103C,1103C,False,False,,False,,,,False,True,a_qualifier_be
1103H,1103H,True,True,Moulures - 1103H.stl,False,,,,False,True,a_importer_puis_extraire_section
1104,1104,True,True,Moulures - 1104.stl,False,,,,False,True,a_importer_puis_extraire_section
1104B,1104B,True,False,,False,,,,False,True,a_qualifier_be
1104B-706,1104B,False,True,Moulures - 1104B.stl,False,,,,False,False,a_importer_puis_extraire_section
1105,1105,True,True,Moulures - 1105.stl,False,,,,False,True,a_importer_puis_extraire_section
1106,1106,False,False,,False,,,,False,True,a_qualifier_be
1107,1107,True,True,Moulures - 1107.stl,False,,,,False,True,a_importer_puis_extraire_section
1107E,1107E,False,False,,False,,,,False,True,a_qualifier_be
1107P,1107P,True,True,Moulures - 1107P.stl,False,,,,False,True,a_importer_puis_extraire_section
1108,1108,True,False,,False,,,,False,False,a_qualifier_be
1112,1112,True,True,Moulures - 1112.stl,False,,,,False,True,a_importer_puis_extraire_section
1115P,1115P,False,False,,False,,,,False,True,a_qualifier_be
1120,1120,True,True,Moulures - 1120.stl,False,,,,False,True,a_importer_puis_extraire_section
1121,1121,True,True,Moulures - 1121.stl,False,,,,False,True,a_importer_puis_extraire_section
1124,1124,True,True,Moulures - 1124.stl,False,,,,False,True,a_importer_puis_extraire_section
1125,1125,True,True,Moulures - 1125.stl,False,,,,False,True,a_importer_puis_extraire_section
1130,1130,True,True,Moulures - 1130.stl,False,,,,False,True,a_importer_puis_extraire_section
1131,1131,False,False,,False,,,,False,True,a_qualifier_be
1132,1132,True,False,,False,,,,False,True,a_qualifier_be
