sku,sku_normalise,designation,col_P_stl,col_N_step,col_H_dxf,col_G_dwg3d,excluded_reason,candidate_stl
D100,D100,,1,,,,,OUI
D101,D101,,1,1,,,,OUI
D102,D102,,1,1,,,,OUI
D103,D103,,1,1,,,,OUI
D104,D104,,1,1,,,,OUI
D105A,D105A,,1,1,,,,OUI
D105B,D105B,,1,1,,,,OUI
D106,D106,,1,1,,,,OUI
D107,D107,,1,1,,,,OUI
D108,D108,,1,1,,,,OUI
D109,D109,,1,,,,,OUI
D110,D110,,1,1,,,,OUI
D113,D113,,1,1,,,,OUI
D113M,D113M,,1,1,,,,OUI
D114,D114,,1,1,,,,OUI
D114M,D114M,,1,1,,,,OUI
D116,D116,,1,1,,,,OUI
D117,D117,,1,1,,,,OUI
D118,D118,,1,1,,,,OUI
D121,D121,,1,,,,,OUI
D122,D122,,1,,,,,OUI
D123,D123,,1,,,,,OUI
D124,D124,,1,,,,,OUI
D125,D125,,1,,,,,OUI
D505,D505,,1,,,,,OUI
D510,D510,,1,1,,,,OUI
D513,D513,,1,,,,,OUI
D515,D515,,1,1,,,,OUI
D520,D520,,1,1,,,,OUI
D525,D525,,1,,,,,OUI
D530,D530,,1,,,,,OUI
D535,D535,,1,,,,,OUI
D540,D540,,1,,,,,OUI
D545,D545,,1,1,,,,OUI
D550,D550,,1,1,,,,OUI
D555,D555,,1,,,,,OUI
D556,D556,,1,,,,,OUI
D560,D560,,1,1,,,,OUI
D561,D561,,1,1,,,,OUI
D562,D562,,1,1,,,,OUI
D563,D563,,1,1,,,,OUI
D564,D564,,1,1,,,,OUI
D565,D565,,1,1,,,,OUI
D566,D566,,1,,,,,OUI
D567,D567,,1,1,,,,OUI
D568,D568,,1,1,,,,OUI
D569,D569,,1,1,,,,OUI
D570,D570,,1,,,,,OUI
D572,D572,,1,,,,,OUI
D573,D573,,1,,,,,OUI
D574,D574,,1,1,,,,OUI
D575,D575,,1,1,,,,OUI
D576,D576,,1,1,,,,OUI
D577,D577,,1,1,,,,OUI
D578,D578,,1,1,,,,OUI
D579,D579,,1,1,,,,OUI
D580,D580,,1,1,,,,OUI
D601,D601,,1,1,,,,OUI
D604,D604,,1,1,,,,OUI
D605,D605,,1,,,,,OUI
D606,D606,,1,1,,,,OUI
D607,D607,,1,1,,,,OUI
D608,D608,,1,1,,,,OUI
D609,D609,,1,1,,,,OUI
D610,D610,,1,1,,,,OUI
D611,D611,,1,1,,,,OUI
D612,D612,,1,1,,,,OUI
D613,D613,,1,,,,,OUI
D614,D614,,1,1,,,,OUI
D615,D615,,1,1,,,,OUI
D616,D616,,1,1,,,,OUI
D616A,D616A,,1,,,,,OUI
