sku,designation,unite,prix_ht,prix_ttc,marqueur,page_source,date_tarif,diametre_mm,hauteur_mm,cote1_mm,cote2_mm,cote3_mm,epaisseur_mm,longueur_barre_mm,statut
0005,Boite à coupe de 1 ml,u,144.33,173.2,*,2,JUILLET 2026,,,,,,,1000.0,OK
0762,Tête de pilastre,u,11.63,13.96,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0006,Boite à coupe de 2 ml,u,268.18,321.81,*,2,JUILLET 2026,,,,,,,2000.0,OK
0765,Socle de pilastre,u,15.67,18.81,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0007,Boite à coupe Grand Modèle (GM) de,u,303.54,364.25,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0780,Pilastre cannelé 10 x 250 cm,u,97.89,117.47,,2,JUILLET 2026,,,100.0,2500.0,,,,OK
0010,Enduit Staff Décor en seau 10 kg,Kg,4.36,5.24,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0781,Tête de pilastre lisse,u,17.23,20.68,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0011,Colle Cartouche 290 ml Contact HIGH,u,11.67,14.01,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0782,Tête de pilastre,u,70.17,84.2,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0012,Plâtre STAFF DECOR HQ en 25 kg,Kg,0.96,1.15,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0785,Socle pilastre H 17 x L 12 x E 3 cm,u,16.42,19.71,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0015,Egoïne (60 cm),u,67.09,80.51,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
08,Applique sans kit,u,78.01,93.61,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0018,Etai de pose,u,40.99,49.19,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0800,Pilastre cannelé 12 x 250 cm,u,106.09,127.31,,2,JUILLET 2026,,,120.0,2500.0,,,,OK
0020,Gabarit de pose réglable,u,35.97,43.17,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0801,Tête de pilastre,u,38.08,45.7,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0021,Colle panneau en 3 kg,u,23.72,28.47,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0802,Tête de pilastre,u,42.9,51.48,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0026,"Plaque coffre en long. de 1,50 ml - Hte",ml,6.93,8.31,,2,JUILLET 2026,,,,,,,1500.0,OK
0803,Tête de pilastre,u,20.32,24.38,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0027,"Plaque coffre en long. de 1,50 ml - Hte",ml,7.94,9.52,,2,JUILLET 2026,,,,,,,1500.0,OK
0804,Tête de pilastre,u,35.29,42.35,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0028,Enduit Staff Decor en 25 kg,Kg,3.98,4.78,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0805,Socle de pilastre,u,17.12,20.55,,2,JUILLET 2026,,,,,,,,A_VERIFIER
0029,Enduit Staff Décor en 5 kg,Kg,4.35,5.22,*,2,JUILLET 2026,,,,,,,,A_VERIFIER
0806,Tête de pilastre,u,14.87,17.84,,2,JUILLET 2026,,,,,,,,A_VERIFIER
