ref,nom,famille,sfam,unite,barre,prix,a_dwg
D520,"Corniche en 1,75 ml",Corniches,Classiques,ml,1.75,10.94,True
D545,"Corniche en 1,75 ml",Corniches,Classiques,ml,1.75,10.94,True
D560,Corniche en 2 ml,Corniches,Classiques,ml,2.0,54.96,True
D570,Corniche en 2 ml,Corniches,Classiques,ml,2.0,75.19,True
D574,Corniche en 2 ml,Corniches,Classiques,ml,2.0,31.31,True
D601,D601,Corniches,Classiques,ml,2.0,32.75,True
D604,D604,Corniches,Classiques,ml,2.0,18.92,True
D605,D605,Corniches,Classiques,ml,2.0,30.61,True
D606,D606,Corniches,Classiques,ml,2.0,32.75,True
D607,D607,Corniches,Classiques,ml,2.0,26.23,True
D608,D608,Corniches,Classiques,ml,2.0,33.39,True
D609,D609,Corniches,Classiques,ml,2.0,38.03,True
D610,D610,Corniches,Classiques,ml,1.75,28.05,True
D611,D611,Corniches,Classiques,ml,1.75,25.63,True
D612,D612,Corniches,Classiques,ml,2.0,24.88,True
D614,D614,Corniches,Classiques,ml,1.75,19.94,True
D616,D616,Corniches,Classiques,ml,1.75,25.63,True
D618,D618,Corniches,Classiques,ml,2.0,37.08,True
D622,D622,Corniches,Classiques,ml,1.75,13.84,True
D624,D624,Corniches,Classiques,ml,1.75,29.7,True
D625,D625,Corniches,Classiques,ml,1.75,19.65,True
D626,D626,Corniches,Classiques,ml,1.75,27.66,True
D627,D627,Corniches,Classiques,ml,2.0,37.67,True
D630,D630,Corniches,Classiques,ml,1.75,14.35,True
D650,D650,Corniches,Classiques,ml,2.0,35.09,True
D650L,D650L,Corniches,Classiques,ml,2.0,45.54,True
D651,D651,Corniches,Classiques,ml,2.0,34.95,True
D652,D652,Corniches,Classiques,ml,2.0,34.95,True
D653,Corniche en 2 ml,Corniches,Classiques,ml,2.0,37.67,True
D654,Corniche en 2 ml,Corniches,Classiques,ml,2.0,45.34,True
D655,Corniche en 2 ml,Corniches,Classiques,ml,2.0,31.02,True
D656,Corniche en 2 ml,Corniches,Classiques,ml,2.0,33.37,True
D657,Corniche en 2 ml,Corniches,Classiques,ml,2.0,42.22,True
D658,Corniche en 2 ml,Corniches,Classiques,ml,2.0,63.37,True
D702,"Corniche en 1,75 ml",Corniches,Classiques,ml,1.75,10.94,True
D703,"Corniche en 1,75 ml",Corniches,Classiques,ml,1.75,14.53,True
D704,Corniche en 2 ml,Corniches,Classiques,ml,2.0,13.87,True
D707,Corniche en 2 ml,Corniches,Classiques,ml,2.0,23.74,True
D713,Corniche en 2 ml,Corniches,Classiques,ml,2.0,31.06,True
D717,Corniche en 2 ml,Corniches,Classiques,ml,2.0,27.7,True
D801,Corniche en 2 ml,Corniches,Classiques,ml,2.0,34.87,True
D802,Corniche en 2 ml,Corniches,Classiques,ml,2.0,38.65,True
D820,Corniche en 2 ml,Corniches,Classiques,ml,2.0,33.33,True
D830,Corniche en 2 ml,Corniches,Classiques,ml,2.0,27.7,True
D880,D880,Corniches,Classiques,ml,2.0,61.1,True
D880A,D880A,Corniches,Classiques,ml,2.5,448.72,False
D886,D886,Corniches,Classiques,ml,2.0,65.59,True
D888,D888,Corniches,Classiques,ml,2.0,59.86,True
D892,D892,Corniches,Classiques,ml,2.0,64.0,True
D896,D896,Corniches,Classiques,ml,2.0,57.51,True
D106,Profil équerre lumineuse avec joint cre,Corniches,Contemporaines,ml,2.5,42.29,True
D118,Profil Z avec bord amincis en 2 ml - 15,Corniches,Contemporaines,ml,2.0,39.65,True
D555,"Corniche en 1,50 ml",Corniches,Contemporaines,ml,1.5,12.92,True
D556,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,13.9,True
D561,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,18.65,True
D562,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,32.95,True
D563,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,33.63,True
D564,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,51.71,True
D565,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,33.61,True
D567,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,37.63,True
D568,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,57.54,True
D572,Profil en 2 ml,Corniches,Contemporaines,ml,2.0,20.85,True
D573,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,27.81,True
D575,D575,Corniches,Contemporaines,ml,2.0,29.72,True
D576,D576,Corniches,Contemporaines,ml,2.0,32.95,True
D577,D577,Corniches,Contemporaines,ml,2.0,35.09,True
D578,D578,Corniches,Contemporaines,ml,2.0,31.74,True
D579,D579,Corniches,Contemporaines,ml,2.0,34.16,True
D580,D580,Corniches,Contemporaines,ml,2.0,34.95,True
D620,D620,Corniches,Contemporaines,ml,2.0,21.16,True
D621,D621,Corniches,Contemporaines,ml,2.0,23.34,True
D631,D631,Corniches,Contemporaines,ml,2.0,18.65,True
D632,D632,Corniches,Contemporaines,ml,2.0,37.66,True
D633,D633,Corniches,Contemporaines,ml,2.0,57.93,True
D705,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,19.34,True
D706,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,20.44,True
D718,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,34.95,True
D720,Corniche en 2 ml,Corniches,Contemporaines,ml,2.0,37.67,True
D751,Corniche en 2 ml SUR COMMANDE,Corniches,Contemporaines,ml,2.0,34.29,True
D752,Corniche en 2 ml SUR COMMANDE,Corniches,Contemporaines,ml,2.0,39.87,True
D753,Corniche en 2 ml SUR COMMANDE,Corniches,Contemporaines,ml,2.0,40.72,True
D754,Corniche en 2 ml SUR COMMANDE,Corniches,Contemporaines,ml,2.0,40.72,True
D891,D891,Corniches,Contemporaines,ml,2.0,60.43,True
D900,D900,Corniches,Contemporaines,ml,2.0,76.87,True
D901,D901,Corniches,Contemporaines,ml,2.0,66.51,True
SDPA1,SDPA1,Corniches,Contemporaines,ml,2.5,49.81,True
SDPA2,SDPA2,Corniches,Contemporaines,ml,2.5,49.81,True
SDPA3,SDPA3,Corniches,Contemporaines,ml,2.5,49.81,True
SDPA4,SDPA4,Corniches,Contemporaines,ml,2.5,49.81,True
US0740,Profil 7+40+7 cm en 2.5 ml,Corniches,Stratistaff,ml,2.5,63.18,True
US1040,Profil 10+40+10 cm en 2.5 ml,Corniches,Stratistaff,ml,2.5,71.81,True
D100,D100,Corniches,LED,ml,2.0,22.43,True
D101,D101,Corniches,LED,ml,2.0,19.52,True
D102,D102,Corniches,LED,ml,2.0,26.03,True
D103,D103,Corniches,LED,ml,2.0,32.54,True
