ref,famille,sfam,type,a_dxf,a_step,a_stl,format_exploitable
D520,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D545,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D560,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D570,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D574,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D601,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D604,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D605,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D606,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D607,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D608,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D609,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D610,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D611,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D612,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D614,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D616,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D618,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D622,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D624,Corniches,Classiques,T1_PROFIL_EXTRUDE,True,True,True,True
D625,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D626,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D627,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D630,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D650,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D650L,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D651,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D652,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D653,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D654,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D655,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D656,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D657,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D658,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D702,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D703,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D704,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D707,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D713,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D717,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D801,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D802,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D820,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D830,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D880,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D880A,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,False,True,True
D886,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D888,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D892,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,False,True
D896,Corniches,Classiques,T1_PROFIL_EXTRUDE,False,True,True,True
D106,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D118,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D555,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D556,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D561,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D562,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D563,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D564,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D565,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D567,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D568,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D572,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D573,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D575,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D576,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D577,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D578,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D579,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D580,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D620,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D621,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D631,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D632,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D633,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D705,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D706,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D718,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D720,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,True,True
D751,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D752,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D753,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D754,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
D891,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,True,False,True
D900,Corniches,Contemporaines,T1_PROFIL_EXTRUDE,False,False,True,True
