ref,famille,sfam,sku_normalise,dans_suivi,dans_manifest,a_dxf,a_step,a_stl,a_dwg_seul,aucun_format
D520,Corniches,Classiques,D520,True,True,False,True,True,False,False
D545,Corniches,Classiques,D545,True,True,False,True,True,False,False
D560,Corniches,Classiques,D560,True,True,False,True,True,False,False
D570,Corniches,Classiques,D570,True,True,False,False,True,False,False
D574,Corniches,Classiques,D574,True,False,False,True,True,False,False
D601,Corniches,Classiques,D601,True,True,False,True,True,False,False
D604,Corniches,Classiques,D604,True,True,False,True,True,False,False
D605,Corniches,Classiques,D605,True,True,False,False,True,False,False
D606,Corniches,Classiques,D606,True,True,False,True,True,False,False
D607,Corniches,Classiques,D607,True,True,False,True,True,False,False
D608,Corniches,Classiques,D608,True,True,False,True,True,False,False
D609,Corniches,Classiques,D609,True,True,False,True,True,False,False
D610,Corniches,Classiques,D610,True,True,False,True,True,False,False
D611,Corniches,Classiques,D611,True,True,False,True,True,False,False
D612,Corniches,Classiques,D612,True,True,False,True,True,False,False
D614,Corniches,Classiques,D614,True,True,False,True,True,False,False
D616,Corniches,Classiques,D616,True,True,False,True,True,False,False
D618,Corniches,Classiques,D618,True,True,False,False,True,False,False
D622,Corniches,Classiques,D622,True,True,False,True,True,False,False
D624,Corniches,Classiques,D624,True,True,True,True,True,False,False
D625,Corniches,Classiques,D625,True,True,False,True,True,False,False
D626,Corniches,Classiques,D626,True,True,False,True,True,False,False
D627,Corniches,Classiques,D627,True,True,False,False,True,False,False
D630,Corniches,Classiques,D630,True,True,False,True,True,False,False
D650,Corniches,Classiques,D650,True,True,False,True,True,False,False
D650L,Corniches,Classiques,D650L,True,True,False,False,True,False,False
D651,Corniches,Classiques,D651,True,True,False,True,True,False,False
D652,Corniches,Classiques,D652,True,True,False,True,True,False,False
D653,Corniches,Classiques,D653,True,True,False,True,True,False,False
D654,Corniches,Classiques,D654,True,True,False,False,True,False,False
D655,Corniches,Classiques,D655,True,True,False,False,True,False,False
D656,Corniches,Classiques,D656,True,True,False,True,True,False,False
D657,Corniches,Classiques,D657,True,True,False,True,True,False,False
D658,Corniches,Classiques,D658,True,True,False,False,True,False,False
D702,Corniches,Classiques,D702,True,True,False,True,True,False,False
D703,Corniches,Classiques,D703,True,True,False,True,True,False,False
D704,Corniches,Classiques,D704,True,True,False,True,True,False,False
D707,Corniches,Classiques,D707,True,True,False,True,True,False,False
D713,Corniches,Classiques,D713,True,False,False,True,True,False,False
D717,Corniches,Classiques,D717,True,True,False,True,True,False,False
D801,Corniches,Classiques,D801,True,True,False,True,True,False,False
D802,Corniches,Classiques,D802,True,True,False,True,True,False,False
D820,Corniches,Classiques,D820,True,True,False,True,True,False,False
D830,Corniches,Classiques,D830,True,True,False,True,True,False,False
D880,Corniches,Classiques,D880,True,True,False,True,True,False,False
D880A,Corniches,Classiques,D880A,True,False,False,False,True,False,False
D886,Corniches,Classiques,D886,True,True,False,True,True,False,False
D888,Corniches,Classiques,D888,True,True,False,True,True,False,False
D892,Corniches,Classiques,D892,True,True,False,True,False,False,False
D896,Corniches,Classiques,D896,True,True,False,True,True,False,False
D106,Corniches,Contemporaines,D106,True,True,False,True,True,False,False
D118,Corniches,Contemporaines,D118,True,False,False,True,True,False,False
D555,Corniches,Contemporaines,D555,True,True,False,False,True,False,False
D556,Corniches,Contemporaines,D556,True,False,False,False,True,False,False
D561,Corniches,Contemporaines,D561,True,True,False,True,True,False,False
D562,Corniches,Contemporaines,D562,True,True,False,True,True,False,False
D563,Corniches,Contemporaines,D563,True,True,False,True,True,False,False
D564,Corniches,Contemporaines,D564,True,True,False,True,True,False,False
D565,Corniches,Contemporaines,D565,True,True,False,True,True,False,False
D567,Corniches,Contemporaines,D567,True,True,False,True,True,False,False
D568,Corniches,Contemporaines,D568,True,True,False,True,True,False,False
D572,Corniches,Contemporaines,D572,True,True,False,False,True,False,False
D573,Corniches,Contemporaines,D573,True,True,False,False,True,False,False
D575,Corniches,Contemporaines,D575,True,False,False,True,True,False,False
D576,Corniches,Contemporaines,D576,True,True,False,True,True,False,False
D577,Corniches,Contemporaines,D577,True,True,False,True,True,False,False
D578,Corniches,Contemporaines,D578,True,True,False,True,True,False,False
D579,Corniches,Contemporaines,D579,True,True,False,True,True,False,False
D580,Corniches,Contemporaines,D580,True,False,False,True,True,False,False
D620,Corniches,Contemporaines,D620,True,True,False,True,True,False,False
D621,Corniches,Contemporaines,D621,True,True,False,True,True,False,False
