sku_normalise,sku_suivi,dans_suivi,dans_manifest,dans_catalogue,statut_gestion,be_declare_dxf_ou_dwg2d,be_declare_step,be_declare_stl,ged_reel_dxf_ou_dwg,ged_reel_step,ged_reel_stl,aucun_format_ni_be_ni_ged
0005,0005,True,False,True,ACTIF,False,False,False,False,False,False,True
0006,0006,True,False,True,ACTIF,False,False,False,False,False,False,True
0007,0007,True,False,True,ACTIF,False,False,False,False,False,False,True
0010,0010,True,False,True,ACTIF,False,False,False,False,False,False,True
0011,0011,True,False,True,ACTIF,False,False,False,False,False,False,True
0012,0012,True,False,True,ACTIF,False,False,False,False,False,False,True
0015,,False,False,True,,False,False,False,False,False,False,True
0018,0018,True,False,True,ACTIF,False,False,False,False,False,False,True
0020,,False,False,True,,False,False,False,False,False,False,True
0021,,False,False,True,,False,False,False,False,False,False,True
0026,,False,False,True,,False,False,False,False,False,False,True
0027,,False,False,True,,False,False,False,False,False,False,True
0028,,False,False,True,,False,False,False,False,False,False,True
0029,0029,True,False,True,ACTIF,False,False,False,False,False,False,True
0030,,False,False,True,,False,False,False,False,False,False,True
0031,0031,True,False,True,ACTIF,False,False,False,False,False,False,True
0032,0032,True,False,True,ACTIF,False,False,False,False,False,False,True
0033,0033,True,False,True,ACTIF,False,False,False,False,False,False,True
0035,,False,False,True,,False,False,False,False,False,False,True
0036,,False,False,True,,False,False,False,False,False,False,True
0038,0038,True,False,True,ACTIF,False,False,False,False,False,False,True
0040,0040,True,False,False,ACTIF,False,False,False,False,False,False,True
0065,0065,True,False,False,ACTIF,False,False,False,False,False,False,True
01,01,True,False,True,ACTIF,False,False,False,False,False,False,True
02,02,True,False,True,ACTIF,False,False,False,False,False,False,True
03,03,True,False,True,ACTIF,False,False,False,False,False,False,True
0300,0300,True,False,True,ACTIF,False,False,False,False,False,False,True
04,04,True,False,True,ACTIF,False,False,False,False,False,False,True
0400,0400,True,False,True,ACTIF,False,False,False,False,False,False,True
05,05,True,False,True,ACTIF,False,False,False,False,False,False,True
0500,0500,True,False,True,ACTIF,False,False,False,False,False,False,True
06,06,True,False,True,ACTIF,False,False,False,False,False,False,True
0600,0600,True,False,True,ACTIF,False,False,False,False,False,False,True
0650,0650,True,False,True,ACTIF,False,False,False,False,False,False,True
07,07,True,False,True,ACTIF,False,False,False,False,False,False,True
0700,0700,True,False,True,ACTIF,False,False,False,False,False,False,True
0710,0710,True,True,True,ACTIF,True,True,True,True,False,False,False
0712,0712,True,True,True,ACTIF,True,True,True,True,False,False,False
0714,0714,True,True,True,ACTIF,True,True,True,True,False,False,False
0724,0724,True,True,True,ACTIF,True,True,True,True,False,False,False
0726,0726,True,True,True,ACTIF,True,True,True,True,False,False,False
0732,0732,True,True,True,ACTIF,True,True,True,True,False,False,False
0734,0734,True,True,True,ACTIF,True,True,True,True,False,False,False
0742,0742,True,False,True,ACTIF,True,True,True,False,False,False,False
0744,0744,True,True,True,ACTIF,True,True,True,True,False,False,False
0760,0760,True,False,True,ACTIF,False,False,False,False,False,False,True
0761,0761,True,False,True,ACTIF,False,False,False,False,False,False,True
0762,0762,True,False,True,ACTIF,False,False,False,False,False,False,True
0765,0765,True,False,True,ACTIF,False,False,False,False,False,False,True
0780,0780,True,False,True,ACTIF,False,False,False,False,False,False,True
0781,0781,True,False,True,ACTIF,False,False,False,False,False,False,True
0782,0782,True,False,True,ACTIF,False,False,False,False,False,False,True
0785,0785,True,False,True,ACTIF,False,False,False,False,False,False,True
08,08,True,False,True,ACTIF,False,False,False,False,False,False,True
0800,0800,True,False,True,ACTIF,False,False,False,False,False,False,True
0801,0801,True,False,True,ACTIF,False,False,False,False,False,False,True
0802,0802,True,False,True,ACTIF,False,False,False,False,False,False,True
0803,0803,True,False,True,ACTIF,False,False,False,False,False,False,True
0804,0804,True,False,True,ACTIF,False,False,False,False,False,False,True
0805,0805,True,False,True,ACTIF,False,False,False,False,False,False,True
0806,0806,True,False,True,ACTIF,False,False,False,False,False,False,True
09,09,True,False,True,ACTIF,False,False,False,False,False,False,True
0900,0900,True,True,True,ACTIF,True,True,False,True,False,False,False
0901,0901,True,False,True,ACTIF,False,False,False,False,False,False,True
0902,0902,True,False,True,ACTIF,False,False,False,False,False,False,True
0903,0903,True,False,True,ACTIF,False,False,False,False,False,False,True
0904,0904,True,False,True,ACTIF,False,False,False,False,False,False,True
0905,0905,True,True,True,ACTIF,False,True,False,True,False,False,False
0950,0950,True,False,True,ACTIF,False,False,False,False,False,False,True
0951,0951,True,False,True,ACTIF,False,False,False,False,False,False,True
0952,0952,True,False,True,ACTIF,False,False,False,False,False,False,True
0955,0955,True,False,True,ACTIF,False,False,False,False,False,False,True
0999,0999,True,False,True,ACTIF,False,False,False,False,False,False,True
10,10,True,False,True,ACTIF,False,False,False,False,False,False,True
100,100,True,False,True,ACTIF,False,False,False,False,False,False,True
1000,1000,True,True,True,ACTIF,True,True,False,True,False,False,False
1001,1001,True,False,True,ACTIF,False,False,False,False,False,False,True
1002,1002,True,False,True,ACTIF,False,False,False,False,False,False,True
1003,1003,True,False,True,ACTIF,False,False,False,False,False,False,True
1004,1004,True,False,True,ACTIF,False,False,False,False,False,False,True
1005,1005,True,True,True,ACTIF,True,True,False,True,False,False,False
101,101,True,False,True,ACTIF,False,False,False,False,False,False,True
1025,1025,True,False,True,ACTIF,False,False,False,False,False,False,True
1050,1050,True,False,True,ACTIF,False,False,False,False,False,False,True
