sku,filename,ext,size,download_url,reference_url
d718,D718.rfa,rfa,221.18 Ko,https://ged.staffdecor.fr/download/927,https://ged.staffdecor.fr/reference/d718
jc43-21p-221,JC43.21P.jpg,jpg,65.47 Ko,https://ged.staffdecor.fr/download/6688,https://ged.staffdecor.fr/reference/jc43-21p-221
1130,Rendu_1130.png,png,814.59 Ko,https://ged.staffdecor.fr/download/3979,https://ged.staffdecor.fr/reference/1130
pl601-90a-372,PL601.90A.rfa,rfa,1.74 Mo,https://ged.staffdecor.fr/download/1452,https://ged.staffdecor.fr/reference/pl601-90a-372
1207e,Moulure-1207 E.pdf,pdf,49.02 Ko,https://ged.staffdecor.fr/download/4644,https://ged.staffdecor.fr/reference/1207e
pl403,Plafonniers - PL403.png,png,67.31 Ko,https://ged.staffdecor.fr/download/6537,https://ged.staffdecor.fr/reference/pl403
9315c,Moulures - 9315C.skp,skp,229.52 Ko,https://ged.staffdecor.fr/download/5600,https://ged.staffdecor.fr/reference/9315c
sdc2,SDC2-High-Line 2.rfa,rfa,335.87 Ko,https://ged.staffdecor.fr/download/1598,https://ged.staffdecor.fr/reference/sdc2
45-55,45-55.stp,stp,40.79 Ko,https://ged.staffdecor.fr/download/2528,https://ged.staffdecor.fr/reference/45-55
m048,Rosaces - M048.stl,stl,5.13 Mo,https://ged.staffdecor.fr/download/6733,https://ged.staffdecor.fr/reference/m048
7075,7075-Caro.jpg,jpg,65.21 Ko,https://ged.staffdecor.fr/download/2310,https://ged.staffdecor.fr/reference/7075
d616a,Corniche - D616A.skp,skp,8.78 Mo,https://ged.staffdecor.fr/download/6029,https://ged.staffdecor.fr/reference/d616a
d880,Corniches-D880.pdf,pdf,49.83 Ko,https://ged.staffdecor.fr/download/4452,https://ged.staffdecor.fr/reference/d880
1415,1415 copie.jpg,jpg,1.03 Mo,https://ged.staffdecor.fr/download/5400,https://ged.staffdecor.fr/reference/1415
3907,Frontons - 3907.stl,stl,2.5 Mo,https://ged.staffdecor.fr/download/7072,https://ged.staffdecor.fr/reference/3907
30-02-391,Colonne-Ø15-socle-chapiteau.rfa,rfa,536.57 Ko,https://ged.staffdecor.fr/download/1663,https://ged.staffdecor.fr/reference/30-02-391
d564,D564.rfa,rfa,221.18 Ko,https://ged.staffdecor.fr/download/922,https://ged.staffdecor.fr/reference/d564
7072,7072 Capiton.stp,stp,247.58 Ko,https://ged.staffdecor.fr/download/727,https://ged.staffdecor.fr/reference/7072
d709,D709.stp,stp,17.65 Ko,https://ged.staffdecor.fr/download/1164,https://ged.staffdecor.fr/reference/d709
