sku,statut_batch,returncode,elapsed_s,message
D106,TRAITE,0,26.2,
D110,TRAITE,0,33.8,
D113,TRAITE,0,2.3,
D113M,TRAITE,0,2.2,
D114,TRAITE,0,25.0,
D114M,TRAITE,0,17.4,
D116,ERREUR_TIMEOUT,,241.9,Timeout > 90s -- processus tué (groupe complet).
D117,TRAITE,0,21.9,
D505,TRAITE,0,30.0,
D515,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D520,TRAITE,0,24.5,
D545,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D550,TRAITE,0,20.3,
D560,TRAITE,0,27.8,
D561,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D563,TRAITE,0,2.3,
D564,TRAITE,0,15.4,
D565,TRAITE,0,13.6,
D567,TRAITE,0,2.2,
D568,TRAITE,0,2.2,
D569,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D577,TRAITE,0,19.0,
D578,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D579,TRAITE,0,2.3,
D601,TRAITE,0,2.4,
D604,TRAITE,0,27.9,
D605,TRAITE,0,2.2,
D606,TRAITE,0,2.4,
D607,TRAITE,0,19.3,
D608,TRAITE,0,32.1,
D609,TRAITE,0,31.9,
D610,TRAITE,0,84.4,
D611,TRAITE,0,2.4,
D612,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D615,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D616,TRAITE,0,67.1,
D617,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D621,TRAITE,0,17.8,
D622,TRAITE,0,20.9,
D624,TRAITE,0,24.0,
D625,TRAITE,0,2.6,
D626,TRAITE,0,24.6,
D628,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D629,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D630,TRAITE,0,20.1,
D632,TRAITE,0,2.1,
D633,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D650,TRAITE,0,29.4,
D651,TRAITE,0,41.0,
D652,TRAITE,0,39.4,
D653,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D656,TRAITE,0,2.4,
D657,TRAITE,0,2.4,
D702,TRAITE,0,2.3,
D703,TRAITE,0,26.9,
D704,TRAITE,0,19.5,
D707,TRAITE,0,2.4,
D708,TRAITE,0,20.5,
D710,TRAITE,0,16.9,
D712,TRAITE,0,29.6,
D715,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D717,TRAITE,0,25.7,
D749,TRAITE,0,2.2,
D801,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D802,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D814,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D815,ERREUR_TIMEOUT,,90.1,Timeout > 90s -- processus tué (groupe complet).
D820,TRAITE,0,2.2,
D830,TRAITE,0,18.3,
D835,TRAITE,0,35.8,
D840,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D880,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D886,TRAITE,0,51.3,
D887,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D888,TRAITE,0,33.5,
D892,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D896,TRAITE,0,37.0,
D898,ERREUR_TIMEOUT,,90.0,Timeout > 90s -- processus tué (groupe complet).
D901,TRAITE,0,15.6,
