sku,categorie,nom_fichier,extension,taille_octets_estimee,taille_affichee_ged,download_url,type_presume
0710,Niches,Niches - 0710.dwg,dwg,551025,538.11 Ko,https://ged.staffdecor.fr/download/5816,INDETERMINE
0712,Niches,0712.dwg,dwg,7444890,7.1 Mo,https://ged.staffdecor.fr/download/2822,3D
0712,Niches,0712.dxf,dxf,37025219,35.31 Mo,https://ged.staffdecor.fr/download/2823,3D
0714,Niches,0714.dwg,dwg,6123684,5.84 Mo,https://ged.staffdecor.fr/download/2790,3D
0714,Niches,0714.dxf,dxf,25459425,24.28 Mo,https://ged.staffdecor.fr/download/2791,3D
0724,Niches,0724.dwg,dwg,6081741,5.8 Mo,https://ged.staffdecor.fr/download/2792,3D
0724,Niches,0724.dxf,dxf,25889341,24.69 Mo,https://ged.staffdecor.fr/download/2793,3D
0726,Niches,0726.dwg,dwg,6480200,6.18 Mo,https://ged.staffdecor.fr/download/2797,3D
0726,Niches,0726.dxf,dxf,26654802,25.42 Mo,https://ged.staffdecor.fr/download/2798,3D
0732,Niches,0732.dwg,dwg,7948206,7.58 Mo,https://ged.staffdecor.fr/download/2824,3D
0732,Niches,0732.dxf,dxf,38870712,37.07 Mo,https://ged.staffdecor.fr/download/2825,3D
0734,Niches,0734.dwg,dwg,6155141,5.87 Mo,https://ged.staffdecor.fr/download/2794,3D
0734,Niches,0734.dxf,dxf,25973228,24.77 Mo,https://ged.staffdecor.fr/download/2795,3D
0744,Niches,0744.dwg,dwg,6155141,5.87 Mo,https://ged.staffdecor.fr/download/2796,3D
0744,Niches,0744.dxf,dxf,26067599,24.86 Mo,https://ged.staffdecor.fr/download/2799,3D
0900,Pilastres,0900.dwg,dwg,133448,130.32 Ko,https://ged.staffdecor.fr/download/11,INDETERMINE
0900,Pilastres,0900.dxf,dxf,491786,480.26 Ko,https://ged.staffdecor.fr/download/1769,INDETERMINE
0905,Pilastres,0905-3D.dwg,dwg,101755,99.37 Ko,https://ged.staffdecor.fr/download/574,3D
0905,Pilastres,0905.dxf,dxf,507515,495.62 Ko,https://ged.staffdecor.fr/download/1774,INDETERMINE
1000,Pilastres,1000-2D.dwg,dwg,150252,146.73 Ko,https://ged.staffdecor.fr/download/572,2D
1000,Pilastres,1000-3D.dwg,dwg,139796,136.52 Ko,https://ged.staffdecor.fr/download/573,3D
1000,Pilastres,1000.dxf,dxf,714609,697.86 Ko,https://ged.staffdecor.fr/download/1777,INDETERMINE
1005,Pilastres,1005-3D.dwg,dwg,341832,333.82 Ko,https://ged.staffdecor.fr/download/1779,3D
1005,Pilastres,1005.dxf,dxf,1384120,1.32 Mo,https://ged.staffdecor.fr/download/1780,INDETERMINE
1101-1108,Moulures,Moulures - 1101 et 1108.dwg,dwg,207841,202.97 Ko,https://ged.staffdecor.fr/download/5136,INDETERMINE
