sku,correspondance_sku,designation,cote_catalogue_champ,cote_catalogue_mm,cote_mesuree_champ,cote_mesuree_mm,ecart_pct,statut,auto
0900,exact,Pilastre cannelé 17 x 250 cm,cote1_mm,170.0,,,,AUCUNE_GEOMETRIE_MESUREE,False
0900,exact,Pilastre cannelé 17 x 250 cm,cote2_mm,2500.0,,,,LONGUEUR_PRESUMEE,True
1000,exact,Pilastre cannelé 23 x 250 cm,cote1_mm,230.0,bbox_mm.w,230.0,0.0,VALIDE,False
1000,exact,Pilastre cannelé 23 x 250 cm,cote2_mm,2500.0,,,,LONGUEUR_PRESUMEE,True
1005,exact,Socle de pilastre,,,,,,AUCUNE_COTE_CATALOGUE,False
1102BH,exact,1/4 cercle,,,,,,AUCUNE_COTE_CATALOGUE,False
1145c,casse_differente,"Cimaise en 1,50 ml",longueur_barre_mm,1500.0,longueur_barre_mm,1500.0,0.0,VALIDE,False
1202,exact,"Moulure en 1,50 ml",longueur_barre_mm,1500.0,,,,AUCUNE_GEOMETRIE_MESUREE,False
20-54,normalisee,1/2 colonne Ø 14 H. 200 cm + 30 cm,hauteur_mm,2000.0,,,,LONGUEUR_PRESUMEE,True
Corniche - D899 (2),AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
Corniche - D899 (3),AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
Corniche - D899,AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
Corniches - D631,AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
D555,exact,"Corniche en 1,50 ml",longueur_barre_mm,1500.0,longueur_barre_mm,1500.0,0.0,VALIDE,False
D562,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D576,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D614,exact,"Corniche en 1,75 ml",longueur_barre_mm,1750.0,longueur_barre_mm,2000.0,14.29,ALERTE,False
D620,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D631,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D705,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D706,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D709,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D718,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D720,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D748,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D891,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,longueur_barre_mm,2000.0,0.0,VALIDE,False
D898,exact,Corniche en 2 ml,longueur_barre_mm,2000.0,,,,AUCUNE_GEOMETRIE_MESUREE,False
PLIN08,exact,"Plinthe 8 cm en 1,50 ml",longueur_barre_mm,1500.0,,,,AUCUNE_GEOMETRIE_MESUREE,False
PLIN08M,exact,"Plinthe moderne 8 cm en 1,50 ml",longueur_barre_mm,1500.0,,,,AUCUNE_GEOMETRIE_MESUREE,False
PLIN10,exact,"Plinthe 10 cm en 1,50 ml",longueur_barre_mm,1500.0,longueur_barre_mm,1500.0,0.0,VALIDE,False
PLIN10M,exact,"Plinthe moderne 10 cm en 1,50 ml",longueur_barre_mm,1500.0,,,,AUCUNE_GEOMETRIE_MESUREE,False
PLIN12,exact,"Plinthe 12 cm en 1,50 ml",longueur_barre_mm,1500.0,longueur_barre_mm,1500.0,0.0,VALIDE,False
PLIN15,exact,"Plinthe 15 cm en 1,50 ml",longueur_barre_mm,1500.0,longueur_barre_mm,1500.0,0.0,VALIDE,False
PLIN20,exact,"Plinthe 20,5 cm en 1,50 ml",longueur_barre_mm,1500.0,longueur_barre_mm,1500.0,0.0,VALIDE,False
Parements - CL39 et PLINCL12.PC,AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
Rosaces - M303 (2),AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
Rosaces - M303 (3),AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
Rosaces - M303,AUCUNE,,,,,,,SKU_INTROUVABLE_DANS_CATALOGUE,False
