sku,categorie,nb_fichiers_3d,taille_totale_mo
0712,Niches,2,42.41
0714,Niches,2,30.12
0724,Niches,2,30.49
0726,Niches,2,31.60
0732,Niches,2,44.65
0734,Niches,2,30.64
0744,Niches,2,30.73
1140c,Moulures,2,29.95
1141c,Cimaises,2,29.95
20-06-29,Colonnes,2,1.02
20-06b,Socles,2,0.59
20-06h-34,Chapiteaux,2,0.84
20-08-395,Colonnes,2,14.80
20-56,Colonnes,2,0.99
20-56b-1,Socles,2,0.63
20-56h,Chapiteaux,2,0.62
20-56s-399,Socles,2,30.92
20-58-396,Colonnes,2,30.06
20-82,Colonnes,2,6.65
2518,Passages et meubles de passage,2,31.34
2524,Passages et meubles de passage,2,31.11
2530,Passages et meubles de passage,2,31.67
2618,Passages et meubles de passage,2,34.32
2624,Passages et meubles de passage,2,37.89
2630,Passages et meubles de passage,2,42.70
2718,Passages et meubles de passage,2,30.29
2724,Passages et meubles de passage,2,30.22
2730,Passages et meubles de passage,2,30.15
2800l,Passages et meubles de passage,1,32.41
2820l,Passages et meubles de passage,1,32.58
2824l,Passages et meubles de passage,1,40.85
2830l,Passages et meubles de passage,1,49.12
30-02-391,Colonnes,2,14.80
30-03-43,Colonnes,2,1.07
30-04,Colonnes,2,14.80
30-05,Colonnes,2,14.80
30-06,Colonnes,2,14.80
30-07,Colonnes,2,14.80
30-08,Colonnes,2,14.80
30-09,Colonnes,2,14.80
30-10,Colonnes,2,14.80
30-11,Colonnes,2,14.80
30-12,Colonnes,2,14.80
30-52-392,Colonnes,2,30.06
30-53-1,Colonnes,2,30.06
30-54,Colonnes,2,30.06
30-55,Colonnes,2,30.06
30-56,Colonnes,2,30.06
30-57,Colonnes,2,30.06
30-58,Colonnes,2,30.06
30-59,Colonnes,2,30.06
30-60-534,Colonnes,2,30.06
30-61,Colonnes,2,30.06
30-62,Colonnes,2,30.06
30-63,Colonnes,2,30.06
31-02-506,Colonnes,2,14.80
31-52-389,Colonnes,2,1.07
45-01,Socles,2,3.24
45-02,Socles,2,1.36
45-03,Socles,2,32.32
45-04,Socles,2,32.63
45-05,Socles,2,32.50
45-06,Socles,2,32.55
45-51,Socles,2,32.34
45-53,Socles,2,31.41
45-54,Socles,2,34.20
45-55,Socles,2,31.47
45-56,Socles,2,31.50
50-atlas,Caissons de plafonds,2,30.04
6030,Profils et plaques,2,30.09
6031,Profils et plaques,2,30.09
6032,Profils et plaques,2,30.09
6104,Hottes,2,30.09
6105,Hottes,2,30.15
6200,Niches,2,29.97
7036plin,Modernes,2,38.90
7038,Briques et briquettes,2,29.97
7070-184,Contemporains,2,5.90
7071,Contemporains,2,3.02
7072,Contemporains,2,12.83
7073,Contemporains,2,2.81
7074,Contemporains,2,0.67
7078,Contemporains,2,2.18
9202,Lambris décaissés,2,0.62
9203,Lambris décaissés,2,0.62
9204,Lambris décaissés,2,0.62
9205,Lambris décaissés,2,0.62
9206,Lambris décaissés,2,0.62
9211,Lambris décaissés,2,0.85
9212,Lambris décaissés,2,0.85
9213,Lambris décaissés,2,0.85
9214,Lambris décaissés,3,0.99
9215,Lambris décaissés,2,0.85
9216,Lambris décaissés,2,0.85
9315c,Moulures,2,29.94
cl10,Grandes dimensions,2,30.10
cl11,Grandes dimensions,2,30.10
cl1213a,Grandes dimensions,1,5.93
cl1213b,Grandes dimensions,1,5.93
cl1213c,Grandes dimensions,1,5.94
cl1213d,Grandes dimensions,1,5.93
cl1374,Grandes dimensions,2,29.98
cl35,Modernes,2,29.96
colonnes,PLANS DWG PAR FAMILLE,1,9.50
cotes-de-passages-et-dessous-de-poutres,PLANS DWG PAR FAMILLE,1,6.40
ebp0525p,"Équerres, U, Joints Creux",2,15.05
ebp0530,"Équerres, U, Joints Creux",1,6.32
ebp0830,"Équerres, U, Joints Creux",1,6.32
ebp1030,"Équerres, U, Joints Creux",1,6.32
enc01,Encastrés,3,96.83
enc02,Encastrés,2,14.99
enc03,Encastrés,2,14.91
enc04,Encastrés,2,15.24
enc21,Encastrés,1,5.75
enc22,Encastrés,2,12.53
enc25,Encastrés,4,60.52
enc601,Dalles Lumineuses,2,15.41
enc602,Dalles Lumineuses,2,17.84
enc603,Dalles Lumineuses,3,42.17
m20-06h-41,Chapiteaux,1,0.23
m20-56h,Chapiteaux,1,0.23
m306,Rosaces  et Rosettes,1,6.13
mod24,Modulostaff,2,30.67
mod25,Modulostaff,1,6.32
pl-dcar-344,Autres formes,1,9.36
pl-evol-489,Rectangulaires,2,38.83
pl-puits2-171,Puits de lumière,1,14.95
pl-puits3-172,Puits de lumière,1,14.32
pl-vague-169,Rectangulaires,1,5.94
pl312,Rectangulaires,1,16.19
pl401,Carrés,1,5.71
pl402,Carrés,2,14.57
pl404,Carrés,3,53.98
pl411,Carrés,1,5.72
pl412,Carrés,2,17.52
pl413,Carrés,1,5.94
pl414,Carrés,2,14.82
pl501,Ronds et ovales,2,9.76
pl621,Ronds et ovales,3,83.38
pl622,Ronds et ovales,2,22.73
pl623,Ronds et ovales,2,29.45
pl80-246,Carrés,1,5.80
r-plaq40-346,Trappes de visite,2,17.12
r-plaq55-347,Trappes de visite,2,31.99
r-trelec,Trappes de visite,2,56.90
rosaces,PLANS DWG PAR FAMILLE,1,7.71
sd7045-luna-park,Modernes,2,15.64
sd7047-soho-320,Modernes,2,30.01
sd7503-everglades-193,Joints creux,2,38.71
t-capiton-316,Têtes de lit,4,12.66
t-sahara-201,Têtes de lit,7,50.96
u-495,"Équerres, U, Joints Creux",2,30.03
u1910,"Équerres, U, Joints Creux",2,30.03
u2410-497,"Équerres, U, Joints Creux",2,30.03
u2425,"Équerres, U, Joints Creux",2,30.03
u3210,"Équerres, U, Joints Creux",1,5.83
u3225,"Équerres, U, Joints Creux",2,30.03
