sku,sku_normalise,designation,code_famille,section,statut_gestion,commentaire,jpg,jpg_raw,plan_pdf,plan_pdf_raw,dwg3d,dwg3d_raw,dxf,dxf_raw,dwg2d,dwg2d_raw,png3ds,png3ds_raw,3dsmax,3dsmax_raw,fbx_obj,fbx_obj_raw,rfa,rfa_raw,step,step_raw,skp,skp_raw,stl,stl_raw,ged2025,ged2025_raw,catalogue_nov2025,catalogue_nov2025_raw
D100,D100,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,False,
D101,D101,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D102,D102,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D103,D103,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D104,D104,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D105A,D105A,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D105B,D105B,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D106,D106,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D107,D107,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,X
D108,D108,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D109,D109,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,X
D110,D110,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D113,D113,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D113M,D113M,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D114,D114,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D114M,D114M,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,False,,True,1,True,1,True,1,True,1,True,1,True,1
D116,D116,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,False,,True,1,True,1,True,1,True,1,True,1,True,1
D117,D117,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D118,D118,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,X
D119 ( pas en gestion),D119(PASENGESTION),,,LES CORNICHES,PAS_EN_GESTION,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
D121,D121,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1
D122,D122,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,X
D123,D123,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,X
D124,D124,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,X
D125,D125,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,X
D201 PAS EN GESTION,D201PASENGESTION,,,LES CORNICHES,PAS_EN_GESTION,Les moules existent-ils?,False,,True,1,False,,False,,True,1,False,,False,,False,,True,1,False,,False,,False,,False,0,False,
D202 PAS EN GESTION,D202PASENGESTION,,,LES CORNICHES,PAS_EN_GESTION,Les moules existent-ils?,False,,True,1,False,,False,,True,1,False,,False,,False,,True,1,False,,False,,False,,False,0,False,
D505,D505,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,False,,False,,True,1,True,1,True,1,True,1
D510,D510,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D513,D513,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1
D515,D515,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D520,D520,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D525,D525,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1
D530,D530,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,False,,False,,True,1,True,1,True,1,True,1
D531 SUPPRIME,D531SUPPRIME,,,LES CORNICHES,SUPPRIME,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,False,,False,,False,0,False,
D535,D535,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,False,,False,,True,1,True,1,True,1,True,1
D540,D540,,,LES CORNICHES,ACTIF,,False,,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1
D545,D545,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D550,D550,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,,True,1,True,1,True,1,True,1,True,1
D555,D555,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,False,,True,1,True,1,True,1,True,1
D556,D556,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,False,à refaire suite modification,False,,True,1,True,1,True,1,True,1
D559S (spécial non référencé),D559S(SPÉCIALNONRÉFÉRENCÉ),,,LES CORNICHES,SPECIAL_NON_REFERENCE,,True,1,True,1,False,,False,,True,1,False,,False,,False,,False,,False,,False,,False,,False,0,False,
D560,D560,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D561,D561,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
D562,D562,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,False,,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1
D563,D563,,,LES CORNICHES,ACTIF,,True,1,True,1,False,,False,,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1
