sku,url,largeur_px,hauteur_px,taille_octets,est_placeholder,note
0-387,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
0-505,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
00-386,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
0710,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/551/5c0e877128280.jpg,102,102,3501,False,
0712,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/552/5c0e87c7accae.jpg,102,102,3782,False,
0714,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/363/5c0e8d17245bf.jpg,102,102,3612,False,
0724,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/549/5c0e8d26a0ce0.jpg,102,102,3654,False,
0726,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/550/5c05502fcb9d1.jpg,102,102,5182,False,
0732,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/553/5c0e87e798019.jpg,102,102,4034,False,
0734,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/547/5c0e8d37827f5.jpg,102,102,3763,False,
0742,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/554/5c0e8800889ce.jpg,102,102,4059,False,
0744,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/548/5c0e8d45698da.jpg,102,102,3800,False,
0760,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
0800,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
0900,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/8/03ca9cd42d5583674a31d796db20cfeb.jpg,102,102,3554,False,
0905,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/292/59dcbfc88bb24.jpg,102,102,4471,False,
0950,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
1000,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/293/6a57313799fe6.png,102,102,41872,False,
1005,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/294/59dcc21d3530e.jpg,102,102,4744,False,
1025,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
1050,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
1101-1108,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/10/59d2411452e10.jpg,102,102,3734,False,
1101bh,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/493/5bb31a0847fcd.jpg,102,102,4265,False,
1101c,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/675/63ede98e283b4.png,102,102,41872,False,
1101d,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
1101e-1,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/717/648c7a46666e1.png,102,102,41872,False,
1101h,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/626/648c7b00a846d.png,102,102,41872,False,
1102,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/11/59d243eb2fd0a.jpg,102,102,4382,False,
1102bh,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/442/5a33da0b8a193.jpg,102,102,3908,False,
1103,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/360/59e5ab276e181.jpg,102,102,3381,False,
1103bh,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/449/5a37d3a134167.jpg,102,102,3900,False,
1103c,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/676/63ede9d52def9.png,102,102,41872,False,
1103h,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/701/648c7b17a2fcd.png,102,102,41872,False,
1104,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/683/6a6224f864ee1.png,102,102,41872,False,
1104b-706,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/706/648c7abd1bee9.png,102,102,41872,False,
1105,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/568/6a622544228e3.png,102,102,41872,False,
1106,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/783/6a6224a8002ef.png,102,102,41872,False,
1107,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/12/59d244a8d9a6a.jpg,102,102,4225,False,
1107-p,https://ged.staffdecor.fr/media/cache/reference_thumb/bundles/app/images/Folder-voir.png,102,102,41872,True,
1107e,https://ged.staffdecor.fr/media/cache/reference_thumb/uploads/707/648c7a8acfd39.png,102,102,41872,False,
