sku_ou_fichier,insunits,motif
M048,4,P16B_deduit_par_recoupement_catalogue: dim_native=570.0000 x facteur=1.0 = 570.000mm vs catalogue=570.000mm (ecart 0.00%)
D844,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.1631 x facteur=10.0 = 2001.631mm vs catalogue=2000.000mm (ecart 0.08%)
1321,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0015 x facteur=10.0 = 1500.015mm vs catalogue=1500.000mm (ecart 0.00%)
D545,5,P16B_deduit_par_recoupement_catalogue: dim_native=170.0000 x facteur=10.0 = 1700.000mm vs catalogue=1750.000mm (ecart 2.86%)
D525,5,P16B_deduit_par_recoupement_catalogue: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
1208,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
D704,5,P16B_deduit_par_recoupement_catalogue: dim_native=200.0000 x facteur=10.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
3900,4,P16B_deduit_par_recoupement_catalogue: dim_native=1010.4886 x facteur=1.0 = 1010.489mm vs catalogue=1010.000mm (ecart 0.05%)
M401,5,P16B_deduit_par_recoupement_catalogue: dim_native=90.0000 x facteur=10.0 = 900.000mm vs catalogue=900.000mm (ecart 0.00%)
D813,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
M251,5,P16B_deduit_par_recoupement_catalogue: dim_native=66.0000 x facteur=10.0 = 660.000mm vs catalogue=660.000mm (ecart 0.00%)
D878,4,P16B_deduit_par_recoupement_catalogue: dim_native=2003.0000 x facteur=1.0 = 2003.000mm vs catalogue=2000.000mm (ecart 0.15%)
D113M,4,P16B_deduit_par_recoupement_catalogue: dim_native=2000.0000 x facteur=1.0 = 2000.000mm vs catalogue=2000.000mm (ecart 0.00%)
1210,5,P16B_deduit_par_recoupement_catalogue: dim_native=175.0000 x facteur=10.0 = 1750.000mm vs catalogue=1750.000mm (ecart 0.00%)
1348,5,P16B_deduit_par_recoupement_catalogue: dim_native=150.0000 x facteur=10.0 = 1500.000mm vs catalogue=1500.000mm (ecart 0.00%)
